Cable Neck Flexion, 1350000
Cable Neck Flexion (with belt), 3210000
Cable Neck Rotation (with belt), 126000000
Cable Lateral Neck Flexion (with belt), 3080000
Lever Neck Flexion (plate loaded), 4770000
Lever Lateral Neck Flexion (plate loaded), 4510000
Lever Neck Flexion, 1600000
Lever Lateral Neck Flexion, 1290000
Weighted Lying Neck Flexion, 580000
Weighted Neck Flexion, 4920000
Weighted Lateral Neck Flexion, 2170000
Front Neck Bridge, 51800000
Wall Front Neck Bridge, 21700000
Wall Side Neck Bridge, 34600000
Neck Retraction Stretch, 1040000
Neck Rotation Stretch, 6550000
Suspended Neck Flexion, 3380000
Suspended Lateral Neck Flexion, 1400000
Cable Neck Extension, 22700000
Cable Neck Extension (with belt), 18600000
Lever Neck Extension (plate loaded), 6930000
Lever Neck Extension, 9090000
Weighted Lying Neck Extension, 1530000
Weighted Neck Extension, 49800000
Weighted Seated Neck Extension, 1320000
Weighted Neck Harness Extension, 9700000
Band Resistive Neck Retraction, 598000
Rear Neck Bridge, 14700000
Wall Rear Neck Bridge, 14000000
Band Resistive Neck Retraction, 598000
Neck Extensor Stretch, 794000
Suspended Neck Extension, 28400000
Barbell Behind Neck Press, 4810000
Barbell Front Raise, 6590000
Barbell Incline Front Raise, 623000
Barbell Military Press, 255000000
Barbell Seated Military Press, 512000
Barbell Shoulder Press, 13600000
Barbell Reclined Shoulder Press, 22300
Cable Bar Behind Neck Press, 19200000
Cable Bar Front Raise, 15400000
Cable Bar Military Press, 23900000
Cable Bar Shoulder Press, 19000000
Cable Seated Front Raise, 3710000
Cable Alternating Front Raise, 2000000
Cable Alternating Seated Front Raise, 2060000
Cable One Arm Front Raise, 12000000
Cable One Arm Front Raise (with rope), 3080000
Cable Standing Shoulder Press, 13200000
Cable Shoulder Press, 33000000
Cable Twisting Overhead Press, 2900000
Cable Bar Behind Neck Press, 19200000
Cable Bar Front Raise, 15400000
Cable Bar Military Press, 23900000
Cable Bar Shoulder Press, 19000000
Dumbbell Arnold Press, 30100000
Dumbbell Front Raise, 7400000
Dumbbell Alternating Front Raise, 558000
Dumbbell Alternating Incline Front Raise, 601000
Dumbbell Alternating Seated Front Raise, 621000
Dumbbell Alternating Full Can Seated Front Raise, 782000
Dumbbell Seated Front Raise, 957000
Dumbbell Full Can Seated Front Raise, 1410000
Dumbbell Shoulder Press, 45100000
Dumbbell One Arm Shoulder Press, 5260000
Dumbbell Reclined Shoulder Press, 167000
Lever Behind Neck Press (plate loaded), 4740000
Lever Barbell Behind Neck Press (plate loaded), 630000
Lever Military Press (plate loaded), 6930000
Lever Reclined Shoulder Press (plate loaded), 2200000
Lever Shoulder Press (plate loaded), 3900000
Lever Barbell Shoulder Press (plate loaded), 758000
Lever One Arm Shoulder Press (plate loaded), 2830000
Lever One Arm Front Raise, 5630000
Lever Reclined Shoulder Press, 2080000
Lever Reclined Parallel Grip Shoulder Press, 1680000
Lever Shoulder Press, 11000000
Lever Shoulder Press (parallel grip), 2110000
Lever Alternating Shoulder Press, 2610000
Sled Shoulder Press, 3140000
Sled Shoulder Press (parallel grip), 1630000
Smith Behind Neck Press, 69900000
Smith Shoulder Press, 54800000
Handstand Shoulder Press (between benches), 1840000
Handstand Push-up (on parallettes), 86400
Pike Press, 237000000
Elevated Pike Press, 11100000
Suspended Front Raise, 42400000
Suspended Pike Press, 11000000
Doorway Front Deltoid Stretch, 377000
Lying Front Deltoid Stretch, 581000
Seated Front Deltoid Stretch, 608000
PNF Seated Front Deltoid Stretch, 132000
Wall Front Deltoid Stretch, 642000
Barbell Upright Row, 15800000
Barbell Wide Grip Upright Row, 583000
Cable Lateral Raise, 6680000
Cable One Arm Lateral Raise, 2410000
Cable Lateral Raise (pulleys close), 2840000
Cable Seated Lateral Raise, 1520000
Cable Upright Row, 7450000
Cable Bar Upright Row, 4430000
Cable Upright Row (dual pulley), 1310000
Cable One Arm Upright Row, 3870000
Cable Upright Row (with rope attachment), 2600000
Cable Upright Row (stirrup attachments), 600000
Cable Wide Grip Upright Row, 2530000
Cable Y Raise, 83100000
Cable Seated Y Raise, 2150000
Cable Seated Y Raise (with rope attachment), 2180000
Dumbbell Incline Lateral Raise, 645000
Dumbbell Incline Y Raise, 509000
Dumbbell Lateral Raise, 4230000
Dumbbell One Arm Lateral Raise, 1640000
Dumbbell One Arm Seated Lateral Raise, 1190000
Dumbbell Seated Lateral Raise, 794000
Dumbbell Lying Lateral Raise, 685000
Dumbbell Raise, 36300000
Dumbbell Upright Row, 3250000
Dumbbell One Arm Upright Row, 2630000
Dumbbell Seated Upright Row, 589000
Lever Barbell Upright Row (plate loaded), 2540000
Lever Lateral Raise (plate loaded), 4960000
Lever Lateral Raise, 2350000
Lever Extended Arm Lateral Raise, 6130000
Lever Extended Arm Kneeling Lateral Raise, 1190000
Lever Lateral Raise, 2350000
Smith Upright Row, 6030000
Smith Wide Grip Upright Row, 2250000
Fixed Bar Side Deltoid Stretch, 16100000
Side Deltoid Stretch, 975000
Suspended Y Lateral Raise, 3870000
Barbell Rear Delt Raise, 205000
Barbell Rear Delt Row, 286000
Barbell Lying Rear Delt Row, 181000
Cable Seated Reverse Fly, 2020000
Cable One Arm Reverse Fly, 9420000
Cable Supine Reverse Fly, 748000
Cable Rear Delt Row, 648000
Cable One Arm Rear Delt Row, 1080000
Cable Standing Rear Delt Row (with rope), 593000
Cable Rear Delt Row (stirrups), 37300
Cable Seated Rear Delt Row (stirrups), 11200
Cable Standing Rear Delt Row (stirrups), 25500
Cable Rear Lateral Raise, 1970000
Cable One Arm Rear Lateral Raise, 2120000
Cable Seated Rear Lateral Raise, 1100000
Cable Standing Cross Row, 13200000
Cable One Arm Standing Cross Row, 16500000
Dumbbell Lying Rear Delt Row, 372000
Dumbbell Incline Rear Delt Row, 304000
Dumbbell Lying Rear Lateral Raise, 519000
Dumbbell Lying One Arm Rear Lateral Raise, 615000
Dumbbell Rear Lateral Raise, 1020000
Dumbbell Rear Delt Row, 328000
Dumbbell Seated Rear Lateral Raise, 558000
Dumbbell Side Lying Rear Delt Raise, 275000
Lever Incline Rear Delt Row (plate loaded), 327000
Lever Lying Rear Lateral Raise (plate loaded), 2970000
Lever Rear Delt Raise (plate loaded), 2410000
Lever Seated Rear Delt Row (plate loaded), 601000
Lever Seated Rear Delt Row (plate loaded), 642000
Lever Seated Rear Lateral Raise (plate loaded), 3510000
Lever T-Bar Rear Delt Row (plate loaded), 633000
Lever Lying Rear Lateral Raise, 2460000
Lever Rear Lateral Raise (on lateral raise machine), 14700000
Lever Rear Lateral Raise (on extended arm kneeling lateral raise machine), 901000
Lever Seated Rear Delt Row, 829000
Lever Seated Reverse Fly (parallel grip), 957000
Lever Seated Reverse Fly (gripless), 10700
Lever Seated Reverse Fly (on pec deck), 1100000
Lever Seated Reverse Fly (overhand grip), 592000
Lever Seated Reverse Fly (pronated parallel grip), 587000
Lever Rear Lateral Raise (on lateral raise machine), 21700000
Lever Rear Lateral Raise (on extended arm kneeling lateral raise machine), 1020000
Smith Rear Delt Row, 1080000
Rear Delt Inverted Row, 575000
Rear Delt Inverted Row (high bar), 667000
Rear Delt Inverted Row (on hips), 911000
Suspended Rear Delt Row, 365000
Suspended Rear Delt Inverted Row, 540000
Suspended Reverse Fly, 17300000
Fixed Bar Rear Deltoid Stretch, 26600000
Rear Deltoid Stretch, 683000
Cable Front Lateral Raise, 3370000
Cable Seated Front Lateral Raise, 3310000
Cable Full Can Lateral Raise, 50700000
Dumbbell Front Lateral Raise, 1580000
Dumbbell Seated Front Lateral Raise, 645000
Dumbbell Full Can Lateral Raise, 8030000
Dumbbell Front Lateral Raise, 1580000
Dumbbell Seated Front Lateral Raise, 645000
Dumbbell Full Can Lateral Raise, 8030000
Machine-assisted Triceps Dip, 264000
Machine-assisted Triceps Dip (kneeling), 40900
Barbell Close Grip Bench Press, 2560000
Barbell Close Grip Incline Bench Press, 1070000
Barbell JM Bench Press, 776000
Barbell Lying Triceps Extension, 343000
Barbell Decline Triceps Extension, 272000
Barbell Incline Triceps Extension, 766000
Barbell Lying Triceps Extension "Skull Crusher", 22200
Barbell Triceps Extension, 1680000
Barbell Reclined Triceps Extension, 361000
Cable Bent-over Triceps Extension, 868000
Cable Bar Bent-over Triceps Extension, 912000
Cable Bent-over Triceps Extension (with rope attachment), 597000
Cable Forward Triceps Extension, 1190000
Cable Incline Triceps Extension, 786000
Cable Kneeling Triceps Extension, 629000
Cable Lying Triceps Extension, 837000
Cable Bar Lying Triceps Extension, 867000
Cable Decline Triceps Extension, 809000
Cable Pushdown, 10900000
Cable Alternating Seated Pushdown, 812000
Cable Bar Pushdown, 1730000
Cable Pushdown (forward leaning), 604000
Cable Bar Pushdown (forward leaning), 635000
Cable Incline Pushdown, 609000
Cable One Arm Pushdown, 824000
Cable Pushdown (with back support), 1130000
Cable Pushdown (with rope attachment), 579000
Cable Pushdown (with V-bar), 806000
Cable Side Triceps Extension, 2290000
Cable Triceps Dip, 2340000
Cable One Arm Triceps Extension (pronated grip), 279000
Cable One Arm Triceps Extension (supinated grip), 145000
Cable Triceps Extension (with rope), 1120000
Dumbbell Kickback, 898000
Dumbbell Lying Triceps Extension, 429000
Dumbbell Decline Triceps Extension, 578000
Dumbbell Incline Triceps Extension, 561000
Dumbbell One Arm Triceps Extension, 949000
Dumbbell One Arm Triceps Extension (on bench), 889000
Dumbbell One Arm Reclined Triceps Extension, 340000
Dumbbell Triceps Extension, 2360000
Dumbbell Reclined Triceps Extension, 320000
Lever Close Grip Bench Press (plate loaded), 2230000
Lever Barbell Close Grip Bench Press (plate loaded), 688000
Lever Triceps Extension (plate loaded), 684000
Lever Triceps Extension (no seat, plate loaded), 1020000
Lever Triceps Dip (plate loaded), 764000
Lever Incline Triceps Extension, 1080000
Lever Overhead Triceps Extension, 863000
Lever Pushdown, 1660000
Lever Seated Close Grip Press, 1860000
Lever Close Grip Incline Bench Press, 1370000
Lever Triceps Dip, 720000
Lever Triceps Dip, 720000
Lever Overhand Triceps Dip, 709000
Lever Triceps Extension, 906000
Lever Triceps Extension, 906000
Lever Alternating Triceps Extension, 1740000
Sled Standing Triceps Dip, 1280000
Smith Close Grip Bench Press, 7210000
Smith Close Grip Incline Bench Press, 2200000
Weighted Bench Dip, 1710000
Weighted Close Grip Push-up, 2910000
Weighted Triceps Dip, 1150000
Band-assisted Triceps Dip, 718000
Bench Dip, 22100000
Bench Dip (knees bent), 4260000
Bench Dip (heels on floor), 23800000
Close Grip Decline Pushup, 732000
Close Grip Push-up (on knees), 18500000
Close Grip Push-up (on medicine ball), 12300000
Close Grip Incline Push-up (on bar), 2170000
Suspended Triceps Extension (with rope), 810000
Triceps Dip, 2670000
Triceps Dip (between benches), 1870000
Triceps Dip (bent knees between benches), 1280000
Suspended Triceps Dip, 957000
Suspended Self-assisted Triceps Dip, 1630000
Suspended Triceps Extension, 1110000
Suspended Triceps Extension (with rope), 936000
Self-assisted Triceps Dip, 658000
Overhead Triceps Stretch, 1170000
PNF Overhead Triceps Stretch, 187000
Towel Triceps Stretch, 707000
Barbell Curl, 11700000
Barbell Drag Curl, 763000
Cable Alternating Curl, 1060000
Cable Alternating Seated Curl, 641000
Cable Curl, 19900000
Cable Bar Curl, 12600000
Cable Curl (with stirrups), 1450000
Cable Seated Curl, 2080000
Cable One Arm Curl, 8970000
Cable Supine Curl, 659000
Dumbbell Curl, 32100000
Dumbbell Seated Curl, 3150000
Dumbbell Incline Curl, 4340000
Lever Curl, 5160000
Lever Alternating Curl, 6490000
Chin-up, 1200000000
Inverted Biceps Row, 811000
Inverted Biceps Row (high bar), 2690000
Doorway Biceps Stretch, 680000
Seated Biceps Stretch, 1050000
PNF Seated Biceps Stretch, 681000
Standing Biceps Stretch, 3490000
Wall Biceps Stretch, 2890000
Doorway Biceps Stretch, 680000
Seated Biceps Stretch, 1050000
PNF Seated Biceps Stretch, 685000
Standing Biceps Stretch, 3490000
Wall Biceps Stretch, 2890000
Suspended Biceps Curl, 1730000
Barbell Preacher Curl, 896000
Barbell Standing Preacher Curl, 309000
Barbell Prone Incline Curl, 165000
Cable Concentration Curl, 1690000
Cable Preacher Curl, 1390000
Cable Alternating Preacher Curl, 580000
